ID,Rol,Acusado,Victima,Sexo,Edad,Rango etario,Año,Mes,Día,Día semana,Hora,Hora completa,Num víctimas,Participantes,Fecha fallecimiento,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Coordenada,Pos x,Pos y
2021-0069,PEATON,AUTO,PEATON,MASCULINO,17,Menos de 20,2021,8,20,Viernes,17,17:15:00,1,PEATON-AUTO,2021-08-21,AV. SANTA FE 3428,AVENIDA,SANTA FE AV.,,SANTA FE AV. 3428,COMUNA 14,PALERMO,"-58.41354692,-34.5869768",-58.41354692,-34.5869768
2021-0070,CONDUCTOR,CARGAS,MOTO,MASCULINO,31,Entre 21 y 40,2021,8,28,Sabado,8,08:30:00,1,MOTO-CARGAS,2021-08-28,"CHILAVERT, MARTINIANO, CORONEL Y VARELA AV.",AVENIDA,"CHILAVERT, MARTINIANO, CORONEL",VARELA AV.,"CHILAVERT, MARTINIANO, CORONEL y VARELA AV.",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.43960781,-34.65470804",-58.43960781,-34.65470804
2021-0071,PEATON,MOTO,PEATON,MASCULINO,88,Más de 80,2021,8,31,Martes,16,16:00:00,1,PEATON-MOTO,2021-09-01,SAN LUIS 2730,CALLE,SAN LUIS,,SAN LUIS 2730,COMUNA 3,BALVANERA - SAN CRISTOBAL,"-58.4045461,-34.60003693",-58.4045461,-34.60003693
2021-0072,PEATON,AUTO,PEATON,FEMENINO,57,Entre 41 y 60,2021,9,1,Miercoles,19,19:10:00,1,PEATON-AUTO,2021-09-01,CALLAO AV. Y PARAGUAY,AVENIDA,CALLAO AV.,PARAGUAY,CALLAO AV. y PARAGUAY,COMUNA 2,RECOLETA,"-58.39303911,-34.59871111",-58.39303911,-34.59871111
2021-0073,CICLISTA,AUTO,BICICLETA,FEMENINO,76,Entre 61 y 80,2021,9,18,Sabado,12,12:20:00,1,BICICLETA-AUTO,2021-09-18,"DEL LIBERTADOR AV. Y AGOTE, LUIS DR.",AVENIDA,DEL LIBERTADOR AV.,"AGOTE, LUIS DR.","DEL LIBERTADOR AV. y AGOTE, LUIS DR.",COMUNA 2,RECOLETA,"-58.39391034,-34.58405348",-58.39391034,-34.58405348
2021-0074,CONDUCTOR,MULTIPLE,MOTO,MASCULINO,55,Entre 41 y 60,2021,9,20,Lunes,15,15:00:00,1,MULTIPLE,2021-09-20,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV.",GRAL PAZ,"PAZ, GRAL. AV.","BALBIN, RICARDO, DR. AV.","PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",COMUNA 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,"-58.5007381,-34.5497951",-58.5007381,-34.5497951
2021-0075,PEATON,CARGAS,PEATON,MASCULINO,65,Entre 61 y 80,2021,9,21,Martes,14,14:30:00,1,PEATON-CARGAS,2021-09-21,SALTA Y BRASIL,CALLE,SALTA,BRASIL,SALTA y BRASIL,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38281301,-34.62786038",-58.38281301,-34.62786038
2021-0076,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,31,Entre 21 y 40,2021,10,16,Sabado,6,06:15:00,1,MOTO-OBJETO FIJO,2021-10-16,"MORENO, PERITO AV. 2152",AVENIDA,"MORENO, PERITO AV.",,"MORENO, PERITO AV. 2152",COMUNA 7,FLORES - PARQUE CHACABUCO,"-58.43980799,-34.65094083",-58.43980799,-34.65094083
2021-0077,CONDUCTOR,CARGAS,MOTO,FEMENINO,31,Entre 21 y 40,2021,10,18,Lunes,7,07:20:00,1,MOTO-CARGAS,2021-10-18,DIRECTORIO AV. 1169,AVENIDA,DIRECTORIO AV.,,DIRECTORIO AV. 1169,COMUNA 6,CABALLITO,"-58.44402387,-34.62933109",-58.44402387,-34.62933109
2021-0078,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,22,Entre 21 y 40,2021,10,23,Sabado,6,06:35:00,1,MOTO-PASAJEROS,2021-10-23,INDEPENDENCIA AV. Y LA PLATA AV.,AVENIDA,INDEPENDENCIA AV.,LA PLATA AV.,INDEPENDENCIA AV. y LA PLATA AV.,COMUNA 6,CABALLITO,"-58.42779702,-34.62207347",-58.42779702,-34.62207347
2021-0079,PEATON,AUTO,PEATON,MASCULINO,0,Menos de 20,2021,10,25,Lunes,3,03:30:00,1,PEATON-AUTO,2021-10-25,TUCUMAN 3112,CALLE,TUCUMAN,,TUCUMAN 3112,COMUNA 3,BALVANERA - SAN CRISTOBAL,"-58.40944147,-34.60097942",-58.40944147,-34.60097942
2021-0080,CONDUCTOR,AUTO,MOTO,MASCULINO,32,Entre 21 y 40,2021,10,28,Jueves,16,16:16:00,1,MOTO-AUTO,2021-10-28,ARENALES Y 9 DE JULIO AV.,AVENIDA,ARENALES,9 DE JULIO AV.,ARENALES y 9 DE JULIO AV.,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38277479,-34.5943016",-58.38277479,-34.5943016
